id|name|url
0|Hamid_Karzai|http://dbpedia.org/resource/Hamid_Karzai
1|Rumi|http://dbpedia.org/resource/Rumi
2|Mahmud_of_Ghazni|http://dbpedia.org/resource/Mahmud_of_Ghazni
3|Abbas_I_of_Persia|http://dbpedia.org/resource/Abbas_I_of_Persia
4|Humayun|http://dbpedia.org/resource/Humayun
5|Mohammed_Zahir_Shah|http://dbpedia.org/resource/Mohammed_Zahir_Shah
6|Augustine_of_Hippo|http://dbpedia.org/resource/Augustine_of_Hippo
7|Albert_Camus|http://dbpedia.org/resource/Albert_Camus
8|Jorge_Luis_Borges|http://dbpedia.org/resource/Jorge_Luis_Borges
9|Che_Guevara|http://dbpedia.org/resource/Che_Guevara
10|Juan_Perón|http://dbpedia.org/resource/Juan_Perón
11|Diego_Maradona|http://dbpedia.org/resource/Diego_Maradona
12|Juan_Ignacio_Chela|http://dbpedia.org/resource/Juan_Ignacio_Chela
13|David_Nalbandian|http://dbpedia.org/resource/David_Nalbandian
14|Gisela_Dulko|http://dbpedia.org/resource/Gisela_Dulko
15|José_de_San_Martín|http://dbpedia.org/resource/José_de_San_Martín
16|Paola_Suárez|http://dbpedia.org/resource/Paola_Suárez
17|Gastón_Gaudio|http://dbpedia.org/resource/Gastón_Gaudio
18|Guillermo_Cañas|http://dbpedia.org/resource/Guillermo_Cañas
19|José_Acasuso|http://dbpedia.org/resource/José_Acasuso
20|Agustín_Calleri|http://dbpedia.org/resource/Agustín_Calleri
21|Juan_Mónaco|http://dbpedia.org/resource/Juan_Mónaco
22|Carlos_Menem|http://dbpedia.org/resource/Carlos_Menem
23|Lionel_Messi|http://dbpedia.org/resource/Lionel_Messi
24|Ástor_Piazzolla|http://dbpedia.org/resource/Ástor_Piazzolla
25|Néstor_Kirchner|http://dbpedia.org/resource/Néstor_Kirchner
26|Daniel_Barenboim|http://dbpedia.org/resource/Daniel_Barenboim
27|Juan_Martín_del_Potro|http://dbpedia.org/resource/Juan_Martín_del_Potro
28|Jonathan_Erlich|http://dbpedia.org/resource/Jonathan_Erlich
29|Guillermo_Vilas|http://dbpedia.org/resource/Guillermo_Vilas
30|Gabriela_Sabatini|http://dbpedia.org/resource/Gabriela_Sabatini
31|Lucas_Arnold_Ker|http://dbpedia.org/resource/Lucas_Arnold_Ker
32|Juan_Manuel_Fangio|http://dbpedia.org/resource/Juan_Manuel_Fangio
33|Cristina_Fernández_de_Kirchner|http://dbpedia.org/resource/Cristina_Fernández_de_Kirchner
34|Mariano_Zabaleta|http://dbpedia.org/resource/Mariano_Zabaleta
35|Pablo_Cuevas|http://dbpedia.org/resource/Pablo_Cuevas
36|Patricia_Tarabini|http://dbpedia.org/resource/Patricia_Tarabini
